ชื่อ,ติดอันดับการจัดที่ดีที่สุด,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาล,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,ค่าบริการทางการแพทย์,จำนวนครั้งในการเคลม,อัตราการเข้าเคลมIPD,อัตราการเข้าเคลมOPD,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 12,กลุ่มที่ 15,กลุ่มที่ 16,กลุ่มที่ 19,กลุ่มที่ 21,,,,,,
เกษมราษฎร์บางแค : BCH,None,BCH,Private,311,5600,5,157,150,2514,7%,93%,7360,10304,19204,3524,1503,3230,1600,0,0,18255,1102,,,,,,
เกษมราษฎร์ประชาชื่น : BCH,None,BCH,Private,362,4800,7,286,150,4318,6%,94%,8031,19215,1825,3001,5513,3083,3054,0,0,10787,1535,,,,,,
เกษมราษฎร์รามคำแหง : BCH,None,BCH,Private,139,3800,8,101,150,1097,4%,96%,4337,0,89634,2068,2009,2196,4175,0,0,9131,942,,,,,,
เจริญกรุงประชารักษ์,None,None,Public,424,2000,9,117,100,37,24%,76%,0,1442,5297,0,2040,701,0,0,0,0,0,,,,,,
เจ้าพระยา,None,None,Private,200,5750,1,350,80,2401,11%,89%,9831,31124,1002,3342,12151,4249,1825,92897,0,6107,2695,,,,,,
เซนต์หลุยส์,Top,None,Private,387,4500,9,188,200,5648,4%,96%,3374,15455,1073,2622,4621,1877,1305,3487,0,2230,1167,,,,,,
เทพธารินทร์,None,None,Private,80,2100,8,106,280,743,4%,96%,7065,2651,9260,1232,145952,4776,3713,0,0,1333,0,,,,,,
เปาโลเมโมเรียล เกษตร : BDMS,None,BDMS,Private,162,4000,7,263,100,3799,7%,93%,5526,59380,18988,3269,3035,3048,1553,0,0,4892,1116,,,,,,
เปาโลเมโมเรียล โชคชัย4 : BDMS,None,BDMS,Private,140,2940,8,183,100,6117,6%,94%,6627,23454,1673,4267,3229,3625,1342,70341,0,9256,1060,,,,,,
เปาโลเมโมเรียล พหลโยธิน : BDMS,None,BDMS,Private,220,5450,9,305,100,6834,5%,95%,5798,30056,16889,1879,6082,2559,1805,17814,12961,3205,2794,,,,,,
เพชรเวช,None,None,Private,200,4810,9,306,100,2383,4%,96%,3036,34657,7208,909,3023,1785,1150,0,0,1321,10155,,,,,,
เมดพาร์ค,Top,None,Private,205,11000,9,394,430,106,11%,89%,19552,48999,2236,0,0,1667,8303,0,0,1550,0,,,,,,
เลิดสิน,None,None,Public,609,1600,9,185,100,195,15%,85%,0,10325,0,257,1256,0,0,0,0,0,0,,,,,,
เวชธานี,None,None,Private,263,5850,8,722,150,2752,7%,93%,9470,51846,10814,7728,18883,3420,2058,0,0,3182,2822,,,,,,
เวชศาสตร์เขตร้อน,None,None,Public,106,1700,3,41,100,186,4%,96%,1389,0,0,0,2350,631,1046,0,0,374,489,,,,,,
แพทย์ปัญญา,None,None,Private,125,2150,9,22,100,125,18%,82%,84425,23079,14020,782,8746,65348,749,0,0,994,216,,,,,,
ไทยจักษุ,None,None,Private,10,3000,2,23,100,57,19%,81%,0,0,0,0,0,1770,0,0,0,0,0,,,,,,
ไทยนครินทร์,None,None,Private,190,6020,9,346,125,3689,7%,93%,7825,9507,5539,2718,4291,3347,2228,39988,65620,1993,6541,,,,,,
กรุงเทพ : BDMS,Top,BDMS,Private,263,11300,9,1198,300,5698,6%,94%,6833,47454,4069,3152,9853,3724,2473,21880,105070,5257,3913,,,,,,
กรุงเทพคริสเตียน,Top,None,Private,244,4900,6,319,400,5016,6%,94%,5799,19315,1947,3005,5520,2935,2156,70678,840,10884,4258,,,,,,
กล้วยน้ำไท 1,None,None,Private,160,6650,8,85,100,577,6%,94%,2277,70486,0,1250,5361,1606,3697,0,0,29065,1150,,,,,,
กลาง,None,None,Public,475,3000,9,116,30,155,14%,86%,953,0,0,437,4785,1357,0,0,10642,0,2370,,,,,,
คลองตัน,None,None,Private,30,2000,4,21,100,37,22%,78%,17553,0,0,0,0,7532,0,0,0,0,0,,,,,,
คามิลเลียน,None,None,Private,120,4400,7,146,100,749,2%,98%,3547,61761,500,1088,1191,1184,1065,0,0,907,717,,,,,,
จุฬาภรณ์,None,None,Public,115,3500,8,445,100,529,16%,85%,17271,7834,6785,125,3277,555,1320,2230,0,0,506,,,,,,
จุฬาลงกรณ์,Top,None,Public,1485,3500,9,435,20,3662,15%,85%,6826,11914,9421,3312,10331,7764,1928,22095,0,8059,2003,,,,,,
ซีจีเอชพหลโยธิน,Top,None,Private,120,4430,8,384,150,1881,9%,91%,6823,6698,2204,1466,3191,3523,1490,0,0,2865,1215,,,,,,
ซีจีเอชสายไหม,None,None,Private,100,3890,8,384,50,1802,6%,94%,3893,20956,0,1288,12010,2866,1118,0,0,2080,580,,,,,,
ตำรวจ,None,None,Public,485,1600,8,363,50,182,31%,69%,2353,12038,740,0,1742,60614,1903,0,0,20883,0,,,,,,
ทหารผ่านศึก,None,None,Public,277,1500,9,101,50,53,21%,79%,0,10550,0,0,435,3442,4559,0,0,0,0,,,,,,
ธนบุรี 1,Top,THG,Private,435,5620,9,625,120,3832,9%,91%,7859,23690,2451,3818,9765,2887,1721,0,0,14140,1468,,,,,,
ธนบุรี 2,None,THG,Private,95,5350,9,222,140,2943,8%,92%,7182,21305,650,3116,3138,2922,1640,85790,4000,4330,4221,,,,,,
ธนบุรี บำรุงเมือง,None,THG,Private,1400,5620,8,86,200,75,8%,92%,3057,0,0,2649,5511,2966,1727,0,0,0,850,,,,,,
นครธน,None,None,Private,150,4500,8,60,150,2755,6%,94%,8191,1288,1387,2392,12881,2402,1563,0,0,1666,1468,,,,,,
นพรัตนราชธานี,None,None,Public,609,1400,9,128,150,88,16%,84%,0,5846,0,0,10881,2585,0,0,0,300,0,,,,,,
นวเวช,None,None,Private,99,4000,8,240,100,30,3%,97%,5040,0,0,0,0,434,1300,0,0,0,0,,,,,,
นวมินทร์,None,None,Private,180,3000,9,92,100,40,10%,90%,1016,100028,0,0,795,880,687,0,0,0,0,,,,,,
นวมินทร์ 9,None,None,Private,245,3280,9,179,100,2175,9%,91%,7833,27874,2317,1512,3341,3630,1388,0,0,1435,668,,,,,,
บางโพ,None,None,Private,100,3700,9,155,50,1645,13%,87%,9703,72945,13387,4715,21606,4176,1981,82411,0,2382,2174,,,,,,
บางไผ่,None,None,Private,100,3530,9,8,100,186,3%,97%,5723,0,0,0,2287,1142,1376,0,0,541,0,,,,,,
บางนา 1,None,None,Private,101,2700,7,84,100,251,4%,96%,992,0,0,1378,24262,924,790,0,0,0,0,,,,,,
บางปะกอก 1,None,BHGRT,Private,120,3200,7,171,100,1827,7%,93%,7279,57975,1290,2950,2559,2706,1760,0,0,1076,0,,,,,,
บางปะกอก 8,None,BHGRT,Private,200,3200,9,219,80,308,13%,87%,3870,0,818,4430,5008,2255,834,0,0,1500,0,,,,,,
บางปะกอก 9 อินเตอร์เนชั่นแนล,Top,BHGRT,Private,120,3200,7,285,120,1704,6%,94%,4638,2201,4126,2443,16819,3324,2116,0,0,2233,872,,,,,,
บางมด,None,None,Private,203,4000,9,71,200,283,8%,92%,1312,1833,1750,1092,2738,1552,5857,0,0,925,0,,,,,,
บ้านแพ้วสาขาสาทร,None,None,Public,54,2300,6,47,50,46,22%,78%,0,0,0,0,3000,313,0,0,0,0,2125,,,,,,
บำรุงราษฎร์,Top,BH,Private,580,11492,9,1133,300,2419,7%,93%,77402,14564,36536,2523,25820,5430,3558,59151,1320,46834,3701,,,,,,
บีเอ็นเอช : BDMS,None,BDMS,Private,86,8800,9,291,350,2097,5%,95%,7554,9964,12476,1999,18302,3947,2035,76385,13992,5652,6237,,,,,,
บีแคร์เมดิคอลเซ็นเตอร์,None,None,Private,136,4330,5,145,80,3095,6%,94%,4776,37985,60581,1329,6286,2692,1987,0,0,1114,1188,,,,,,
บุญญาเวช,None,None,Private,29,2900,2,8,120,43,9%,91%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ปิยะเวท,None,BHGRT,Private,150,5760,9,243,150,1004,5%,95%,7049,16047,1336,1261,1711,1846,1536,0,0,3181,23333,,,,,,
พญาไท 1 : BDMS,Top,BDMS,Private,174,4800,9,245,150,2873,7%,93%,10391,38882,25827,2085,20610,5800,2506,0,0,2319,2475,,,,,,
พญาไท 2 : BDMS,Top,BDMS,Private,260,6687,9,535,180,8289,7%,93%,6937,27482,12327,3001,9280,3695,2245,107852,14903,5784,2920,,,,,,
พญาไท 3 : BDMS,None,BDMS,Private,230,6200,9,412,150,4412,10%,90%,10890,3372,7213,3101,15320,4461,1960,65281,0,18164,3162,,,,,,
พญาไท นวมินทร์ : BDMS,None,BDMS,Private,140,4100,9,57,80,2573,6%,94%,6745,11188,825,3531,3516,3202,1632,0,0,2294,1372,,,,,,
พระมงกุฎเกล้า,Top,None,Public,953,2000,9,249,50,738,14%,86%,11986,12946,1597,1401,10111,3996,1682,0,0,56068,1028,,,,,,
พระรามเก้า,Top,None,Private,166,7950,9,340,250,8186,4%,96%,5940,21190,8393,2376,4112,2419,1681,0,0,4905,2001,,,,,,
ภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ,None,None,Private,619,2000,9,221,50,254,9%,91%,1934,1783,6447,1491,9276,1027,1093,0,0,12700,755,,,,,,
มงกุฎวัฒนะ,None,None,Private,100,4000,8,411,75,4011,7%,93%,3841,13754,5147,2155,4606,2275,1190,0,0,897,674,,,,,,
มิชชั่น,None,None,Private,120,4000,6,107,150,705,7%,93%,2782,28273,0,1541,12674,10520,952,0,0,5216,894,,,,,,
มิตรประชา,None,None,Private,148,1800,9,55,120,76,7%,93%,1852,0,0,0,1066,9952,1003,0,0,0,1000,,,,,,
รัชดา-ท่าพระ,None,None,Public,25,4000,8,10,100,40,10%,90%,928,5285,0,0,1300,1494,556,0,0,920,0,,,,,,
ราชวิถี,Top,None,Private,1031,4300,9,347,100,250,32%,68%,3633,23654,981,260,6220,4990,300,0,0,5817,0,,,,,,
รามคำแหง,Top,RAM,Public,486,3500,9,327,80,6332,8%,92%,7540,21963,1506,3885,8934,3997,2614,41427,18214,4102,2667,,,,,,
รามาธิบดี,Top,None,Private,1378,1000,9,1041,100,6028,15%,85%,19260,26827,8979,1679,23863,8296,2324,44203,675,19673,3036,,,,,,
ราษฎร์บูรณะ,None,None,Public,124,3950,9,46,200,575,12%,88%,5659,32440,850,4083,4341,5776,4805,0,0,1728,0,,,,,,
ลาดพร้าว,None,None,Private,180,4700,8,206,200,8256,6%,94%,6320,10117,4042,1525,2521,2783,1460,38114,7191,2869,2825,,,,,,
วชิรพยาบาล,Top,None,Public,740,2400,9,341,50,251,45%,56%,16656,16351,133846,875,10773,25249,190,0,0,45832,0,,,,,,
วิชัยเวช แยกไฟฉาย,None,Vichaivej,Private,49,3250,9,7,110,202,10%,90%,849,0,0,937,0,1156,889,0,0,710,0,,,,,,
